title,sub-title,ref,new_price,reserved_status,geo
Crivelli,СЕРЬГИ С БРИЛЛИАНТАМИ 1.06 СТ И ИЗУМРУДАМИ 1.62 СТ,171-857.74318307,13407,,ТЦ РигаМолл
Crivelli,"СЕРЬГИ С ЖЕМЧУГОМ И БРИЛЛИАНТАМИ 0,46 CT",000-3416NS/51853144,6730,,ТЦ РигаМолл
Crivelli,КОЛЬЕ С БРИЛЛИАНТОМ 0.10 СТ И ЖЕМЧУГОМ 4.70 СТ,231-1809N/83599645,1492,,ТЦ РигаМолл
Crivelli,БРАСЛЕТ С БРИЛЛИАНТАМИ 2.00 СТ,179-GRIF-72D/49665648,7960,,ТЦ РигаМолл
Crivelli,БРАСЛЕТ С БРИЛЛИАНТАМИ 5.00 СТ,179-GRIF-45D/69008100,17115,,ТЦ РигаМолл
Crivelli,КРЕСТ С БРИЛЛИАНТАМИ 0.25 СТ,117-C350/87445587,1528,,ТЦ РигаМолл
Crivelli,Браслет с сапфирами 3.30 CT,329-L1050-C/93049699,3596,,ТЦ РигаМолл
Crivelli,БРАСЛЕТ С САПФИРАМИ 3.30 CT,329-L1050-C/62167299,3595,,ТЦ РигаМолл
Crivelli,БРАСЛЕТ С БРИЛЛИАНТАМИ 0.92 CT,302-R18635M-BR/61707550,4620,,ТЦ РигаМолл
Crivelli,"КОЛЬЦО С БРИЛЛИАНТАМИ 0,24 СТ И ИЗУМРУДАМИ 0,52 СТ",035-VR28519,2915,,ТЦ РигаМолл
Crivelli,"КОЛЬЦО С БРИЛЛИАНТАМИ 0,24 СТ И ИЗУМРУДОМ 0,42 СТ",035-VR28519,2637,,ТЦ РигаМолл
Crivelli,"КОЛЬЦО С БРИЛЛИАНТАМИ 0,77 СТ",035-VR26180,9895,,ТЦ РигаМолл
Crivelli,"ПОДВЕСКА С БРИЛЛИАНТАМИ 0,40 СТ",035-VP26458,2760,,ТЦ РигаМолл
No name,DIAMOND RING 9.28 CT DEEP FANCY YELLOW/SI1,"9,28 190924",95000,,Москва
No name,С БРИЛЛИАНТАМИ 4.04-4.03 CT FANCY INTENSE YELLOW/VS (GIA),8.07 FLY,Цена по запросу,,Москва
No name,С БРИЛЛИАНТАМИ 5.02-5.03 FY/SI,5.02-5.03 FY/SI,99000,,Москва
Graff,"КОЛЬЦО 6,84 CT FANCY YELLOW/VS2",6.84 C,Цена по запросу,,Москва
Pasquale Bruni,Stelle in Fiore Rose Gold Pendant,15823R,4100,,Москва
Pasquale Bruni,Stelle in Fiore Rose Gold Earrings,15801R,5800,,Москва
Chopard,HAPPY DIAMONDS,84/3351,3100,,Москва
Messika,MOVE CLASSIQUE RING (SIZE 53),04000-WG-53,4100,,Москва
Piaget,POSSESSION NECKLACE,373376,5800,,Москва
Piaget,POSSESSION NECKLACE,373376,5800,,Санкт-Петербург
Chopard,Happy Diamonds Yellow Gold Earrings,83/3957-20,4250,,Москва
Chopard,ICE CUBE DIAMOND EARRINGS,837702-1003,2500,,Москва
Graff,DIAMOND 1.33 CT  PENDANT,GP9506,10500,,Москва
